checkin_dates,checkout_dates,h_address1,h_address2,h_amenities1,h_amenities2,h_amenities3,h_amenities4,h_amenities5,h_amenities6,h_amenities7,h_name,h_phone,h_ranking,h_rating_avg,h_rating_excellent,h_rating_poor,h_rating_terrible,h_rating_vgood,h_review1,h_review2,h_review3,h_review4,h_review5,h_reviewnums,h_starrating,h_tripadvisor_rating,tripadvisor_price,expedia_price,orbitz_price
16-Apr,17-Apr,4-1516 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1830",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hotel Coral Reef,(808) 219-0931,#1,6%,64%,3%,3%,24%,"It was even better than 5 yrs ago when my husband and I got married at their pool.   We were greeted by lovely ""Peggy Sue"" in the lobby, spreading her gracious Aloha, as we checked in.  Alicia was also super friendly and accommodating at the...","We booked two nights in an ocean front room and were excited to see a smaller hotel outside of the usual chains we normally visit. The staff was amazing and super friendly, the location good (a bit north of downtown Kapaa) and the hotel had...","If you haven’t figured out that this is THE hotel  after all the other reviews and tons of praise and love, I don’t know what else you are looking for, the best view, the comfortable and romantic rooms, the amazing kind and wonderful staff. I...","To call this a hotel is a joke - it is classified as three stars but deserves only one. The cheerful staff who greeted me are the only reason this place gets even a one in my book.

The ""garden views"" are of parked cars...","I love this beautiful boutique hotel!! 
  This has got to be one of the best hotels we've ever stayed in. The quality of this hotel for the value far surpassed any place we've stayed at so far. It is literally a few yards from the...",382 reviews, Multilingual Staff ,4.5,179,179,179
16-Apr,17-Apr,4-1516 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1830",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hotel Coral Reef,(808) 219-0931,#1,6%,64%,3%,3%,24%,The Hotel Coral Reef is perfectly located on Kauai's Coconut Coast. Absolute beachfront with a magnificent sun rise very morning and breakfast among the palm trees. Kapaa is ideally located for visiting the entire island and coming back in the evening to take advantage of...,"My parents and I stayed at the Hotel Coral Reef for 3 nights last month during our visit to Kauai. Overall, we enjoyed ourselves and would not hesitate to return. The views are spectacular and the staff is hands-down the best I've ever encountered. 

Pros:...",Loved our stay at Coral Reef. The view is amazing. Our room opened right up to the ocean. The entire wall was glass so whether we had the doors open or closed we could see the ocean with the sunrises right outside. Nice big room...,"I will start my  review with… If we are ever Kauai again, we would stay here hands-down. If anyone ever needs a recommendation for a hotel in Kauai, we would recommend this place for sure. 

Pros... Relatively central location on the island. Nice pool, towels...","Lovely location with great ocean views from our second floor room.  Perfect for our needs as we spent all week exploring this amazing island and Kapaa is centrally located. As others have said, traffic is heavy in Kapaa and surprisingly all over the island.  Great...",382 reviews, Multilingual Staff ,4.5,179,179,179
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,"We stayed 4 days/nights in a room with an ocean view. The room was clean and quiet. The bed was ""older"" and could use updating but all else was excellent. Parking spacing is very ""tight""! There is a $20/night resort/amenity fee for the internet (which...",,"Comfortable, clean, conveniently located. Stayed 10 days and enjoyed very much. Beach is not a great place for walking but shade from the trees running along it was great place to relax, read and watch the surf. Staff is friendly. Shops, including a small market...","Stayed here for a week and enjoyed it!  Check in was good for us. Rooms are very decent!  Housekeeping every day.  A/C, hot water WiFi all perfect!  Beach is definitely swimmable when not too windy.  Beautiful grounds..well manicured.  Small pool and hot tub was great...","Really well maintained grounds and clean rooms here. Overall, very friendly staff and a good central location along the east coast of the island. Downside of the location is that the south bound traffic on that highway is crazy from about 8:00 a.m. to 6:00...","1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,"The hotels is located very conveniently on the beach between two other hotels. We had a second floor room on Kauai building ... oceanfront room ... nice to see the sunrise every day and hear the waves in the night.

I liked the hotel was...","The unit we stayed on was on the 3rd floor facing the ocean, so we were able to see the sunrise every morning.  Very comfortable accommodations. Nice pool area with a bar, gas bbq grills and a hot tub.  Closeby was a great coffee shop...","Positives: It's easy to explore any shore from this convenient location. An hour to the north and an hour to the south....this makes traveling easy. Also, the rooms are nicely set up. The beds are comfortable (soft but firm). And the staff is nice (they...",The beach location is beautiful. We spent many hours sittting near the pool and watching the waves. The pool bar was fun and convenient. We enjoyed our evenings as we chatted with other visitors. The Imua Coffee shop right next door has some of the...,Staying in Kapaa was an excellent decision for our first trip to Kauai.  The Aston is in a wonderful central location.  The beach is steps away from the hotel rooms.  The only downside is the old beds.  We booked our stay directly with the hotel...,"1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,The location of this hotel makes it the perfect place to stay on Kauai.  Travel to the north or south side in about the same amount of time. Very close to the airport and easy walk to restaurants and shops.  Very clean rooms and common...,"The location is absolutely the best. Beaches are very good in front of the resort,bar is great, lots of shopping, bike rentals, restaurants all within walking distance. Staff was great.  Unfortunately the room itself left a lot to be desired.  A ""2"" at best.  In...","We booked through Airbnb and stayed in one of three privately owned units. The location was great for exploring the island. Traffic in Kapaa can get very congested at times, but we always left early enough to avoid it. The grounds were very well maintained...","The hotel is on the beach which is nice.  The hotel's ""resort fees are a bit ridiculous.  They are over $20 a day and I am not sure what you get for the money.  There is a small pool.  A hot tub that didn't work...","Located right next to Coconut Market Place, this facility is right on the beach. Simple but ample, we found it advantageous to stay here. The resort provides a daily allowance for a gourmet coffee, mango lemonade or exotic tea via a boutique coffee shop practically...","1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,"A perfect location right on the beach.  If you can get a room facing the beach, even better.  However.....no restaurant on site but Lava Lava Beach club just a very short walk is open for breakfast, lunch and tea.....all on the beach!  Other eating options...","We stayed at this hotel for 5 nights. First of all it’s obvious that they cater to the traveler who is staying for the season, not the people coming for a short stay. We’ve come to realize that there are very few new hotels here...","This was one of the most affordable hotels we could find on Kauai in March. It was a pretty hotel, perhaps a little dated but that didn't matter. We were looking to stay in Kapaa for the convenience of being able to drive North or...","Although we tend to spend more time on the north shore in princeville and hanalei, my wife and I always like to spend the first few days of our Kauai trips in Kapaa at the Aston. It’s a great launching point for the south and...","We really enjoyed our stay. We stayed one night at the beginning of our vacation and two nights at the end. It was very convenient to the airport and grocery stores. It wasn't a fancy resort, but it had everything you could want and the...","1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,The place had beautiful landscaping. Hot tub was great as it rained off and on! Just wish it would be open earlier in the morning. Beautiful open air lobby. Concierge and all staff were very helpful and positive. Our room faced the beach and so...,"Next to ocean and convenient marketplace
Rooms are nice, most have ocean views, small kitchen, market, gas, and food nearby. Great location. 10mins drive to 2 famous waterfalls and everything on the island is maximum 1 hour away.
Only negative is that the beach while...","We stayed for nearly a week as a base to explore Kauai. At check-in, the young lady seemed to think that as guests we were somehow taking up her gossip time as we had arrived too early and the room was not ready yet -...","Our stay at this hotel was lovely, primarily because of the really friendly staff.  They were always smiling, cheerful and seemed so happy all the time!  Our room was on the top floor and was beach facing, which was also lovely!  It was a self-contained...","Very nice hotel with a perfect location on the beach. Our room had a sea-view which made our stay unfrogettable. The rooms are quite big (with a balcony) and well-equipped, the swimming-pool is nice and the staff extremely friendly. No restaurant in the hotel but...","1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,440 Aleka Place,"Kapaa, Kauai, HI 96746",Free Internet,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Poolside Bar,Aston Islander on the Beach,+1 855-463-9567,#3,14%,37%,4%,2%,43%,"A beautiful location, steps away from the ocean.  The unit was large and had a small fridge, microwave, toaster oven and coffee pot. We appreciate the use of a BBQ at poolside.  There are no BBQ utenicles so you have to be creative.   The unit...",I stayed here during a transitional move to Hawaii Island two years ago. My wife was already on the Big Island and didn't get to experience the Islander so we came back this year for a  Thanksgiving weekend getaway. We had a wonderful third floor...,My husband and I stayed in unit 323 which was the third floor corner studio. It was perfect! We had a wonderful view of the ocean from our private lanai. We found the unit to be exactly as advertised and the Krellers were so helpful...,"The Aston Islander On The Beach is located just as it says - on the beach - listen to the waves lulling you off to sleep, watch the spectacular sunrises or the moonlight reflecting across the water.  There is a great pool area with a...","We chose the hotel initially for its location, being midway between the North and South Island extremities, for access by road, and glad we did. The hotel is laid out in a number of three storey blocks and we were located on the ground floor....","1,772 reviews", Kitchenette ,4,169,169,169
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,"I was impressed with our ocean view 2 bedroom unit. It was spacious and clean, the kitchen was well equipped and the bed was very comfy. It is in close proximity to Kapaa town and we were there the first Saturday of the month when...","We were in a 1 bedroom ground floor room.  Right on the beach.  Friendly staff.  Room was clean.  It would be rated ""5"" if there would have been AC in the bedroom.  The murphy wall bed was very comfortable. Would highly recommend.","Pono Kai was a nice choice for visiting Kuaui, known as the Garden Isle in Hawaii.  The room was clean and more than adequate, albeit beginning to show its age.  Pono Kai is presently in the process of upgrading its facility.  It is located on...","Stayed five nights with another couple in a one bedroom & fold down bed condo.  The resort front desk was efficient and pleasant.  We used the pool, shuffle board, and croquet; all OK.  The location is walking distant to shops and a few restaurants. We...","Pono Kai is conveniently located on the East Side of Kauai, easy access to all other locations and plenty of things to do right here. 

Downtown Kapaa, with its shops and restaurants is a short stroll away.

There is a four mile level walking, biking...",773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,"Stayed here 2 years ago and after traveling the island and seeing the sights decided this was our favorite place.  Came back and able to book online 

Nice one bedroom condo with ocean view and on beach.  Grounds and rooms well maintained and clean.  Will...","We loved this place so much a little over a year ago, loved it so much we had to come back. This is centrally located in Kappa. Close walk to downtown and grocery. The staff is great and always helpful. The wife and I invited...","We booked this one bedroom and a Murphy wall bed in the living room through our timeshare (Vacation Internationale.) To our surprise, it was situated with a beach front view! Watched the sunrise every morning with a cup of Kona Coffee. We stayed 11 days...","Room was nice and open, small kitchen, but it works. Everything was new and clean. Nice grounds, well manicured. Easy parking. Only complaints..... WiFi was horrible and BBQ were not functioning properly. But overall very happy and would stay at again.",We stayed for 8 nights at the Pono Kai and loved it!  We stayed in E-102 with an amazing view of the ocean.  The staff was very friendly and helpful and the grounds were beautiful.  The room was outdated but very clean and had everything...,773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,Right on the beach. Two bedroom suite is very spacious. Great kitchen facilities  and housekeeping is good. Furniture is good   Fantastic central location. Would recommend this for any travellers   Will come back again. Kapaa is lovely and lots of cute local shops and restaurants,"We haven't stayed in Kapaa for a long time. We have  been spending more time on the north side, but you are so far from all the action.  We stayed at the Pono Kai Resort this year and it has been great!  We are walking...",It's a 3 star resort but I gave it 4 because the service was good & it was clean . We had a 2 bedroom plus a loft unit & an ocean view ( another reason for the extra star ) . It's in a...,"The rooms were good sized and clean and the staff was very helpful.  I was unable to pick a room, one just got assigned by AFVC.  We ended up on the traffic side, away from the beach view.  The noise was constant from the traffic...","This resort is in a great location, the room was clean and comfortable, the view is absolutely beautiful. And, Kapaa is a very cool town to explore and stay in while in Kauai. But, a friendly front desk staff is something this resort is missing....",773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,"This is a nice resort.  Rooms were clean, property was kept beautiful, location is GREAT, and the view is spectacular!  And Kapaa is a wonderful town to explore.  But, if it's friendly staff that you're looking for, this is not the place to go.  Housekeeping...",Loved being in Kapaa as it was about equidistant to Waimea and Na Pali. We were told there wouldn't be any ocean view rooms available until later in our stay but then we ended up getting an ocean view room that was just slightly further...,"It has a great morning sunrise views on half of units . Needs some updates but it does the job and is good for kids. Has lots fun perks : pool, shuffle board, tennis, b-ball, Volleyball, beach front, croquet, bocce, grills, koi pool , elevators,...","While this property is older, the spaces have been in the midst of upgrades for 1-2 years. I stayed in Building J, room 205.  I was a bit forlorn when they said that they didn't have any ocean view rooms, and they also put me...","We were in one of the updated 2 bedroom suites that had a kitchen in it. It was very comfortable with a balcony with half a view of the ocean. 

the only problem that I was faced with was the back bedroom didn't have air...",773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,"Nice resort convenient to old town.  Easy walking to shops, restaurants and beach on property.  Nice strolling path that is 4 miles long one way and 2 miles the other way.  Great customer service and concierge staff.  We loved our stay.  We stayed in K202....","Another 2 week stay here, we had the 3rd floor of the ocean front building, C, with a gorgeous view of the sea and the sunrise.  The grounds are well-maintained, the buildings are in great shape outside and they are currently renovating the units.  Ours...",Affordable and Great service and attention to anything we ever need. Perfect part of the island for home base.  Nothing pretentious and nothing missed. Each member of their team is fantastic at what they do.  Visit once a year.,"I reserved a 2-bedroom, 2-bathroom unit and was upgraded to a 2-bedroom loft. Wow, talk about spacious! My biggest complaint with the 2/2s is that six people couldn't sleep there comfortably. The largest group that I travel in is four total and 2/2s are perfect....","Spent 5 nights here, E208. The room was quite nicely appointed, with all the necessities. A/C, Wi-Fi, TV all worked! We were told amenities (soap, shampoo, etc. were not provided, and towels/sheets were replaced once during a week's stay. yet it was provided, every other...",773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,4-1250 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1658",Free Wifi,Free Parking,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Suites,Pono Kai Resort,,#6,15%,29%,6%,4%,46%,"My husband and I just returned home from a 9 night stay at Pono Kai Resort in Kapaa, Kauai.  The manager, Dawn, was extremely helpful and nice - as were all the staff onsite.  The grounds were beautifully landscaped and maintained and our unit (B108)...","Have stayed at Pono Kai many times. 
It's on the ocean. The grounds a very nice. Nice pool and hot tub. Staff is always very nice, and willing to help.
I have never been disappointed with my stay at Pono Kai.
Shops and restaurants close....",The Pono Kai was easy to find and was close to the airport and near the middle of town in Kapaa. The grounds of the resort are spectacular. You can tell they take very good care of it. The check in was easy enough and...,"Although Pono Kai Resort seems nice for families, this particular unit is full of deferred maintenance and lousy housekeeping. Three seniors checked in the evening of September 8, 2017. We had booked and paid for 12 nights, and were stuck. I texted the owner, who...",We enjoyed our stay at the Pono Kai resort.  The condo was clean and comfortable and close to everything.  It's not the Ritz but it was nice enough for us!  The grounds are beautifully kept and the staff are friendly and helpful.  We enjoyed the...,773 reviews, Fitness center ,4,399,399,399
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,"We stayed at the Courtyard for 10 nights and it was almost perfect from check in to check out.

Even before our stay, I was in contact with Geri who did her best to make sure my parents and I would enjoy our stay. She...",My husband and I just spend 2 weeks at this hotel and we thoroughly enjoyed our stay.  We were on the 4th floor (the top) and so had ceilings that were like open beam and very high.  I loved that!  Our room and bed were...,Hotel has everything you need. The staff is very friendly. I would give it a 5 if the beach was better for swimming. With a rental car it is easy to get anywhere in the island. Can’t beat the value of this hotel for the...,"We stayed for 7 nights and really enjoyed out stay from check-in to check-out. The people were friendly, they have a lovely pool and hot tub with towel service, a fire pit and a nice beach with chairs and benches. I guess you expect all...","The Courtyard by Marriott is along resort row in Kapaa.  You are within walking distance to a shopping center with Starbucks.  There is a pharmacy across the parking lot.  The resort has a good size beach.  If you walk it end to end, it’s almost...","1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,Let's face it ... Hawaii is expensive to visit.  I have stayed at this hotel three times now and have been very pleased with every visit. The rooms aren't huge but I have found them to be clean.  The pool is nice with awesome beach...,Our room seemed very small...everything is so close together. The balcony was even smaller. After about 3 days of noticing a sour smell we found a disgusting beer can hidden behind one of the beds...who knows how long it has been sitting there fermenting. It...,"Good value; great views; super beach.  Kapaa is not exactly a hot spot and requires driving to get to most sites.  A couple of comments. 1) They have great specials in the bar and restaurant. Only issue is that they don't publicize them well, even...","We found the Courtyard Kauai at Coconut Beach to be lovely...tremendous grounds, pool, rooms are clean and pleasant, beautiful beach area, and very nice breakfast buffet.  While we were there the now well reported missile warning was received on our cell phones.  It happened at...","This is a great hotel and location.  Never had a problem finding a parking space even on event nights.  Check-in was smooth.  Close to airport.  Easy drives to north, south and west shores.  Long’s Pharmacy and other shopping within walking distance.  No problems getting fresh...","1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,We had an awesome time here. We stayed in a basic room with a garden view. Room was awesome. Staff was excellent. Kayla makes free espresso in the morning and was a delight to our stay. Hotel is in excellent location on the island. Hotel...,"We stayed at the hotel for 5 days over between Christmas and New Year's Day. As others have stated, the overall look of the hotel is a little dated by more contemporary standards, but we find the property beautiful, clean, and very comfortable. 

Our room...","Very nice hotel.  Great location by the ocean and great proximity to the airport!!  Loved relaxing by the pool and the beach, plus attending a luau right at the hotel!!  Staff were very courteous and helpful, plus valet parking was included at no additional charge!!","The rooms were dark, dingy, and smelled a bit of mold. The interior looks like grandmas house and not like a typical Courtyard. It really just needs to be updated, but it’s otherwise good. The area of the hotel is really great and the food/...",We stayed at this hotel for 12 nights this January. The resort is aging but really well maintained. The luau next door was entertaining and convenient although pricy at $94. The ocean view and central location was so nice. It was  very close to a...,"1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,"The hotel is on a great location, nice rooms. My only two complain is that the hotel don’t have transportation to and from the airport and is so complicated to get a taxi at the airport and there is not a lot of options on...","Returned for a second year in a row for my birthday for a short stay and was disappointed in the service this time.   Last year the the front desk accommodated a special birthday by giving even a better room than originally reserved.   

This year the...",The hotel was nice with a small beach at east side. So you can watch sunrise if not lot of clouds. Hotel staffs are helpful. You can get beach towels and other amenities even at the very early morning. Restaurant is expensive so we only...,"We spent 8 nights at this hotel and found it totally relaxing.  The property is a bit dated, but it is well-maintained and quite clean. The pool and lounge area are very nice with nightly entertainment, good food, and friendly staff. The pool temperature was...","This is a great place to stay in Kaua‘i if you are on a budget. It is close to all of the restaurants and grocery stores, everything is within the walking distance. Moreover, it is only an hour drive from Weimea Canyon and Napali Coast,...","1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,This is a great option if you are planning to drive around to see Kauai. Rooms are clean and beds are comfortable. Staff is helpful and friendly. The lobby bar serves great burgers and beer with reasonable prices. I will definitely visit again.,"We just spent a week here and I would say it was ""OK""

Pros:
- Great staff, very friendly and helpful
- Good central location - easy and convenient to Princeville/Hanalei to the north and Popui/Wimea to the south
- You can borrow beach chairs...",The hotel rooms are decent size and as expected in any courtyard Hotels elsewhere. The hotel itself is slightly beaten down and nothing like a resort style. There is a small swimming pool and bar by the beach and both are well maintained. We booked...,"Second hotel we stopped at on my tour of Hawaii and its Islands, I think I was only here for one night, I decided to forego the excursion in the evening which may of been a luau or fire-eaters or both as after the flight/travelling...","Unfortunately this hotel fell far below our expectations. The first room we checked into smelled damp, the vents were filthy, and the bedding stained. We were transferred to another room after a two hour wait. The manager was nice however she never apologized. The breakfast...","1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,650 Aleka Loop,"Kapaa, Kauai, HI 96746-1402",Free Wifi,Parking,Breakfast Buffet,Beachfront,Pool,Non-Smoking Hotel,Restaurant,Courtyard Kaua'i at Coconut Beach,+1 844-631-0595,#5,14%,35%,5%,2%,44%,"I liked the hotel. It was clean, and right on the beach. The one thing that I didn’t like about the hotel was having to pay to park there which seems to be a common theme for most Hawaii hotels. During my previous trip to...",We ordered or Oceanview room 5 months in advance. Our room had a view of a overgrown lot it was about 400  yards to the ocean but we couldn't see anything except the palm tree directly in our way. The lanaies  were so small that...,"I must say, my expectation were low, but what I received from service to room at this hotel was very good and great value. I'm platinum on few hotel membership, but this time I was staying under my friend's name so all the perks were...","Courtyard stay was better than what we expected as it was during pricey Christmas season.

Conveniently located near the beach and close to many restaurants and shops including Foodland.

it is an aging building but well-maintained. We feel welcomed and their customer service is excellent....",We stayed 5 days in the worst room in the hotel.  I booked an Oceanview Room with Marriott points 2 months in advance and was given the room most distant from the ocean and lobby.  There was also a rooster right outside the balcony under...,"1,826 reviews", Suites ,4,409,409,548
16-Apr,17-Apr,3-5920 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1433",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hilton Garden Inn Kauai Wailua Bay,+1 855-618-4697,#4,16%,39%,6%,4%,35%,This property is beautiful & well-maintained. Danielle & her staff did everything possible to make our stay here a nice experience! We enjoyed the lovely breakfast bar each day & relaxed in the hot tub each evening after a full day of exploring the island....,,"Very nice, and clean hotel!  Our room offered a beautiful ocean view, which was suggested to us by Jesus at the front desk.  Bathroom was very large and recently updated.  Room was very spacious and clean.  King size bed, fridge, and microwave.  Lots of chickens...","If you are looking for a minimal amenities hotel this is fine.  Many of the staff were excellent.  However, the food service is lacking, limited to a buffet for breakfast, and an extremely short dinner menu.  I had WIFI access less than 50% of the...",We spent our honeymoon here and had an overall great experience. One of the best hotel experience I have ever had! We had a much better time than in all of the higher class hotels on Kauai or on all of Hawaii. Great property and...,836 reviews, Restaurant ,4,280,280,280
16-Apr,17-Apr,3-5920 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1433",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hilton Garden Inn Kauai Wailua Bay,+1 855-618-4697,#4,16%,39%,6%,4%,35%,"After coming from HGVC's King's Land on Hawaii and the Islander on Ohau, we were floored by the Garden Inn. From the helpfulness and friendliness of the staff across the board. The rooms were clean, the food was good, and we were treated like royalty....","Having stayed at this location prior to it becoming a Hilton Garden Inn property, I have to say that the renovations and upgrades are beautiful.  As a Hilton Honors member, I was able to use points towards our stay, which added to the value.  The...","I have stayed other Hilton Garden Inn many times, and always enjoyed the stays. This was not an exception in Kauai, and as a matter of fact, one of the best HGIs. The location is toward the east side, slightly north of the airport.  It...",a wonderful hotel with a very tropical feel.  fantastic beach right on the property.  excellent breakfast every day.   nice bar and restaurant.   good prices and excellent food.   rooms are clean and nicely furnished.  staff is extremely helpful and friendly.   I recommend it highly.,"The Hilton Garden Inn was a reasonable price and they offered one-bedroom cottages which advertised a kitchenette which seemed great for us since we have two kids. However, this only includes a sink and counter area, but no dishes, cutlery or basic kitchen essentials, or...",836 reviews, Restaurant ,4,280,280,280
16-Apr,17-Apr,3-5920 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1433",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hilton Garden Inn Kauai Wailua Bay,+1 855-618-4697,#4,16%,39%,6%,4%,35%,This was our family's first trip to Hawaii and we were with our 1-year-old.  The two-room cottage was wonderful and had a great location right next to a huge park and play area.  Property had great amenities and location was great!  Staff was very friendly...,"The Hilton Garden Inn Kauai Wailua Bay is a well-maintained property, offering fantastic location, excellent amenities, and phenomenal staff at reasonable prices.  We enjoyed a really nice, first-floor suite that opened onto a secluded courtyard pool with an ocean view.  The on-premise restaurant was worth...","Good property location, could use more parking and also would recommend that more consideration be given to rewards level.  At of HGI I have been welcomed and rewarded much more for diamond status.  Overall it was a 7 or 8 out of 10 for the...","Straight to the point: I was not impressed with the facilities. The hotel faces the ocean, but there is a public park between the hotel and the ocean/beach. The park and beach were nice, but it is not ocean front. None the less it is...",Amazing location... close to businesses for food and necessities and great location as we were at the very front of the lydgate beach... close to other beaches as well... rooms are very nice and the services from the hotel staff were amazing... didnt really get...,836 reviews, Restaurant ,4,280,280,280
16-Apr,17-Apr,3-5920 Kuhio Hwy,"Kapaa, Kauai, HI 96746-1433",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Beachfront,Pool,Non-Smoking Hotel,Hilton Garden Inn Kauai Wailua Bay,+1 855-618-4697,#4,16%,39%,6%,4%,35%,Booked the Hawaii trip somewhat last minute so choice of resorts were minimal and room rates were high.  Decided to stay a large resort for $500/night for half of trip and stayed at this hotel for 2nd part of trip to save money.  Hotel was...,"Nice hotel, free parking, breakfast was included since a Hilton Diamond member. Very helpful staff. Beds hard. Appreciated microwave and frig in the room with grocery store about a mile away. Good central location for Kauai.","The hotel has a great location next to Lydgate Park and the beach. 
 
The Pros: good location, good WiFi, fridge in the room, I had an ocean view room

The Cons: The hotel itself is at most average and shows signs of decline. I am...","We have been coming to Kauai for over 10 years. We always stay on the North shore, this was our first time in Kapaa and first stay with the Hilton Garden Inn. The property was upgraded resently we heard and they did a good job....","Stayed for 2 nights

Pros:
- attractive renovation on the open air lobby and nice waterfall landscaping throughout
- rooms are quite spacious and interior design/furnishings have been modernized (eg. USB charging port, strong wifi signal)
- first floor rooms have a walkout and sliding...",836 reviews, Restaurant ,4,280,280,280
